Wall time,Step,Value
1689516955.6759543,1,0.9120879173278809
1689516988.8035963,2,0.906593382358551
1689517022.021108,3,0.9230769276618958
1689517055.843857,4,0.8846153616905212
1689517090.4299219,5,0.9093406796455383
1689517123.432129,6,0.9258241653442383
1689517157.0178666,7,0.9340659379959106
1689517190.624795,8,0.9285714030265808
1689517223.3691843,9,0.942307710647583
1689517260.5944982,10,0.9368131756782532
1689517297.1971602,11,0.9505494236946106
1689517332.988691,12,0.9505494236946106
1689517369.6513586,13,0.9505494236946106
1689517404.7405982,14,0.9478021860122681
1689517439.339973,15,0.9532967209815979
1689517473.927365,16,0.9532967209815979
1689517510.138464,17,0.9478021860122681
1689517544.6915245,18,0.9560439586639404
1689517579.090053,19,0.9560439586639404
1689517612.69693,20,0.9615384340286255
1689517647.8446813,21,0.9505494236946106
1689517681.8635964,22,0.9505494236946106
1689517716.520941,23,0.9615384340286255
1689517754.206151,24,0.9615384340286255
1689517788.012398,25,0.9532967209815979
1689517821.9571867,26,0.9615384340286255
1689517855.2570975,27,0.9560439586639404
1689517889.2406602,28,0.958791196346283
1689517923.5696707,29,0.958791196346283
1689517958.0316336,30,0.9560439586639404
